PennOS Log
Running at Sun Apr 23 12:07:38 2023
[0    ]	CREATE  	1  	-1	shell
[29   ]	CREATE  	2  	0 	echo
[29   ]	BLOCKED  	1  	-1	shell
[29   ]	EXITED  	2  	0 	echo
[29   ]	ZOMBIE  	2  	0 	echo
[29   ]	UNBLOCKED	1  	-1	shell
[29   ]	WAITED  	2  	0 	echo
[707  ]	CREATE  	2  	0 	zombify
[708  ]	CREATE  	3  	0 	zombie_child
[709  ]	EXITED  	3  	0 	zombie_child
[709  ]	ZOMBIE  	3  	0 	zombie_child
[755  ]	CREATE  	4  	0 	ps
[755  ]	BLOCKED  	1  	-1	shell
[755  ]	EXITED  	4  	0 	ps
[755  ]	ZOMBIE  	4  	0 	ps
[755  ]	UNBLOCKED	1  	-1	shell
[755  ]	WAITED  	4  	0 	ps
[833  ]	CREATE  	4  	0 	zombify
[833  ]	BLOCKED  	1  	-1	shell
[833  ]	CREATE  	5  	0 	zombie_child
[834  ]	EXITED  	5  	0 	zombie_child
[834  ]	ZOMBIE  	5  	0 	zombie_child
[852  ]	SIGNALED	2  	0 	zombify
[852  ]	ZOMBIE  	2  	0 	zombify
[852  ]	ORPHAN  	3  	0 	zombie_child
[852  ]	SIGNALED	3  	0 	zombie_child
[864  ]	SIGNALED	4  	0 	zombify
[864  ]	ZOMBIE  	4  	0 	zombify
[864  ]	UNBLOCKED	1  	-1	shell
[864  ]	ORPHAN  	5  	0 	zombie_child
[864  ]	SIGNALED	5  	0 	zombie_child
[865  ]	WAITED  	4  	0 	zombify
[865  ]	WAITED  	2  	0 	zombify
[931  ]	CREATE  	2  	0 	ps
[931  ]	BLOCKED  	1  	-1	shell
[931  ]	EXITED  	2  	0 	ps
[931  ]	ZOMBIE  	2  	0 	ps
[931  ]	UNBLOCKED	1  	-1	shell
[931  ]	WAITED  	2  	0 	ps
[1006 ]	CREATE  	2  	0 	busy
[1006 ]	BLOCKED  	1  	-1	shell
[1093 ]	SIGNALED	2  	0 	busy
[1093 ]	ZOMBIE  	2  	0 	busy
[1093 ]	UNBLOCKED	1  	-1	shell
[1094 ]	WAITED  	2  	0 	busy
[1121 ]	CREATE  	2  	0 	busy
[1130 ]	CREATE  	3  	0 	ps
[1130 ]	BLOCKED  	1  	-1	shell
[1130 ]	EXITED  	3  	0 	ps
[1130 ]	ZOMBIE  	3  	0 	ps
[1130 ]	UNBLOCKED	1  	-1	shell
[1130 ]	WAITED  	3  	0 	ps
[1856 ]	CREATE  	3  	0 	ps
[1856 ]	BLOCKED  	1  	-1	shell
[1856 ]	EXITED  	3  	0 	ps
[1856 ]	ZOMBIE  	3  	0 	ps
[1856 ]	UNBLOCKED	1  	-1	shell
[1857 ]	WAITED  	3  	0 	ps
