PennOS Log
Running at Sun Apr 23 12:20:16 2023
[0    ]	CREATE  	1  	-1	shell
[14   ]	CREATE  	2  	0 	busy
[14   ]	BLOCKED  	1  	-1	shell
[125  ]	SIGNALED	2  	0 	busy
[125  ]	ZOMBIE  	2  	0 	busy
[125  ]	UNBLOCKED	1  	-1	shell
[126  ]	WAITED  	2  	0 	busy
[167  ]	CREATE  	2  	0 	busy
[177  ]	CREATE  	3  	0 	ps
[177  ]	BLOCKED  	1  	-1	shell
[177  ]	EXITED  	3  	0 	ps
[177  ]	ZOMBIE  	3  	0 	ps
[177  ]	UNBLOCKED	1  	-1	shell
[177  ]	WAITED  	3  	0 	ps
[766  ]	CREATE  	3  	0 	ps
[766  ]	BLOCKED  	1  	-1	shell
[766  ]	EXITED  	3  	0 	ps
[766  ]	ZOMBIE  	3  	0 	ps
[766  ]	UNBLOCKED	1  	-1	shell
[767  ]	WAITED  	3  	0 	ps
[944  ]	CREATE  	3  	0 	ps
[944  ]	BLOCKED  	1  	-1	shell
[944  ]	EXITED  	3  	0 	ps
[944  ]	ZOMBIE  	3  	0 	ps
[944  ]	UNBLOCKED	1  	-1	shell
[944  ]	WAITED  	3  	0 	ps
[1338 ]	BLOCKED  	1  	-1	shell
[1345 ]	SIGNALED	2  	1 	busy
[1345 ]	ZOMBIE  	2  	1 	busy
[1345 ]	UNBLOCKED	1  	-1	shell
[1346 ]	WAITED  	2  	1 	busy
[1370 ]	CREATE  	2  	0 	ps
[1370 ]	BLOCKED  	1  	-1	shell
[1370 ]	EXITED  	2  	0 	ps
[1370 ]	ZOMBIE  	2  	0 	ps
[1370 ]	UNBLOCKED	1  	-1	shell
[1370 ]	WAITED  	2  	0 	ps
[1406 ]	CREATE  	2  	0 	sleep
[1406 ]	BLOCKED  	1  	-1	shell
[1406 ]	EXITED  	2  	0 	sleep
[1406 ]	ZOMBIE  	2  	0 	sleep
[1406 ]	UNBLOCKED	1  	-1	shell
[1406 ]	WAITED  	2  	0 	sleep
[1445 ]	CREATE  	2  	0 	sleep
[1445 ]	BLOCKED  	1  	-1	shell
[1445 ]	BLOCKED  	2  	0 	sleep
[1603 ]	SIGNALED	2  	0 	sleep
[1603 ]	ZOMBIE  	2  	0 	sleep
[1603 ]	UNBLOCKED	1  	-1	shell
[1604 ]	WAITED  	2  	0 	sleep
[1675 ]	CREATE  	2  	0 	busy
[1713 ]	CREATE  	3  	0 	ps
[1713 ]	BLOCKED  	1  	-1	shell
[1713 ]	EXITED  	3  	0 	ps
[1713 ]	ZOMBIE  	3  	0 	ps
[1713 ]	UNBLOCKED	1  	-1	shell
[1713 ]	WAITED  	3  	0 	ps
[1917 ]	CREATE  	3  	0 	busy
[1933 ]	CREATE  	4  	0 	ps
[1933 ]	BLOCKED  	1  	-1	shell
[1937 ]	EXITED  	4  	0 	ps
[1937 ]	ZOMBIE  	4  	0 	ps
[1937 ]	UNBLOCKED	1  	-1	shell
[1945 ]	WAITED  	4  	0 	ps
[1991 ]	CREATE  	4  	0 	busy
[2185 ]	CREATE  	5  	0 	busy
[2205 ]	CREATE  	6  	0 	ps
[2205 ]	BLOCKED  	1  	-1	shell
[2217 ]	EXITED  	6  	0 	ps
[2217 ]	ZOMBIE  	6  	0 	ps
[2217 ]	UNBLOCKED	1  	-1	shell
[2223 ]	WAITED  	6  	0 	ps
[2343 ]	CREATE  	6  	0 	busy
[2463 ]	CREATE  	7  	0 	ps
[2463 ]	BLOCKED  	1  	-1	shell
[2475 ]	EXITED  	7  	0 	ps
[2475 ]	ZOMBIE  	7  	0 	ps
[2475 ]	UNBLOCKED	1  	-1	shell
[2481 ]	WAITED  	7  	0 	ps
