PennOS Log
Running at Sun Apr 23 12:19:25 2023
[0    ]	CREATE  	1  	-1	shell
[122  ]	CREATE  	2  	0 	Gen_A
[122  ]	BLOCKED  	1  	-1	shell
[122  ]	CREATE  	3  	0 	Gen_B
[122  ]	BLOCKED  	2  	0 	Gen_A
[122  ]	CREATE  	4  	0 	Gen_C
[123  ]	CREATE  	5  	0 	Gen_D
[123  ]	BLOCKED  	4  	0 	Gen_C
[123  ]	CREATE  	6  	0 	Gen_E
[123  ]	BLOCKED  	5  	0 	Gen_D
[123  ]	CREATE  	7  	0 	Gen_F
[123  ]	BLOCKED  	6  	0 	Gen_E
[123  ]	CREATE  	8  	0 	Gen_G
[123  ]	BLOCKED  	7  	0 	Gen_F
[123  ]	CREATE  	9  	0 	Gen_H
[123  ]	BLOCKED  	8  	0 	Gen_G
[123  ]	CREATE  	10 	0 	Gen_I
[123  ]	BLOCKED  	9  	0 	Gen_H
[123  ]	CREATE  	11 	0 	Gen_J
[123  ]	BLOCKED  	10 	0 	Gen_I
[123  ]	CREATE  	12 	0 	Gen_K
[124  ]	CREATE  	13 	0 	Gen_L
[124  ]	BLOCKED  	12 	0 	Gen_K
[124  ]	CREATE  	14 	0 	Gen_M
[124  ]	BLOCKED  	13 	0 	Gen_L
[124  ]	CREATE  	15 	0 	Gen_N
[124  ]	BLOCKED  	14 	0 	Gen_M
[124  ]	CREATE  	16 	0 	Gen_O
[124  ]	BLOCKED  	15 	0 	Gen_N
[124  ]	CREATE  	17 	0 	Gen_P
[124  ]	BLOCKED  	16 	0 	Gen_O
[124  ]	CREATE  	18 	0 	Gen_Q
[124  ]	BLOCKED  	17 	0 	Gen_P
[124  ]	CREATE  	19 	0 	Gen_R
[124  ]	BLOCKED  	18 	0 	Gen_Q
[124  ]	CREATE  	20 	0 	Gen_S
[124  ]	BLOCKED  	19 	0 	Gen_R
[124  ]	CREATE  	21 	0 	Gen_T
[125  ]	CREATE  	22 	0 	Gen_U
[125  ]	BLOCKED  	21 	0 	Gen_T
[125  ]	CREATE  	23 	0 	Gen_V
[125  ]	BLOCKED  	22 	0 	Gen_U
[125  ]	CREATE  	24 	0 	Gen_W
[125  ]	BLOCKED  	23 	0 	Gen_V
[125  ]	CREATE  	25 	0 	Gen_X
[125  ]	BLOCKED  	24 	0 	Gen_W
[125  ]	CREATE  	26 	0 	Gen_Y
