PennOS Log
Running at Sun Apr 23 12:18:01 2023
[0    ]	CREATE  	1  	-1	shell
[67   ]	CREATE  	2  	0 	zombify
[68   ]	CREATE  	3  	0 	zombie_child
[69   ]	EXITED  	3  	0 	zombie_child
[69   ]	ZOMBIE  	3  	0 	zombie_child
[95   ]	CREATE  	4  	0 	ps
[95   ]	BLOCKED  	1  	-1	shell
[95   ]	EXITED  	4  	0 	ps
[95   ]	ZOMBIE  	4  	0 	ps
[95   ]	UNBLOCKED	1  	-1	shell
[95   ]	WAITED  	4  	0 	ps
[242  ]	CREATE  	4  	0 	zombify
[242  ]	BLOCKED  	1  	-1	shell
[242  ]	CREATE  	5  	0 	zombie_child
[243  ]	EXITED  	5  	0 	zombie_child
[243  ]	ZOMBIE  	5  	0 	zombie_child
[351  ]	SIGNALED	2  	0 	zombify
[351  ]	ZOMBIE  	2  	0 	zombify
[351  ]	ORPHAN  	3  	0 	zombie_child
[351  ]	SIGNALED	3  	0 	zombie_child
[369  ]	SIGNALED	4  	0 	zombify
[369  ]	ZOMBIE  	4  	0 	zombify
[369  ]	UNBLOCKED	1  	-1	shell
[369  ]	ORPHAN  	5  	0 	zombie_child
[369  ]	SIGNALED	5  	0 	zombie_child
[370  ]	WAITED  	4  	0 	zombify
[370  ]	WAITED  	2  	0 	zombify
[395  ]	CREATE  	2  	0 	orphanify
[395  ]	BLOCKED  	1  	-1	shell
[395  ]	CREATE  	3  	0 	orphan_child
[395  ]	EXITED  	2  	0 	orphanify
[395  ]	ZOMBIE  	2  	0 	orphanify
[395  ]	UNBLOCKED	1  	-1	shell
[395  ]	ORPHAN  	3  	0 	orphan_child
[395  ]	SIGNALED	3  	0 	orphan_child
[395  ]	WAITED  	2  	0 	orphanify
[676  ]	CREATE  	2  	0 	child_0
[676  ]	CREATE  	3  	0 	child_1
[676  ]	CREATE  	4  	0 	child_2
[676  ]	CREATE  	5  	0 	child_3
[676  ]	CREATE  	6  	0 	child_4
[676  ]	CREATE  	7  	0 	child_5
[676  ]	CREATE  	8  	0 	child_6
[676  ]	CREATE  	9  	0 	child_7
[676  ]	CREATE  	10 	0 	child_8
[676  ]	CREATE  	11 	0 	child_9
[676  ]	BLOCKED  	1  	-1	shell
[676  ]	EXITED  	11 	0 	child_9
[676  ]	ZOMBIE  	11 	0 	child_9
[676  ]	UNBLOCKED	1  	-1	shell
[676  ]	EXITED  	10 	0 	child_8
[676  ]	ZOMBIE  	10 	0 	child_8
[676  ]	EXITED  	9  	0 	child_7
[676  ]	ZOMBIE  	9  	0 	child_7
[677  ]	EXITED  	7  	0 	child_5
[677  ]	ZOMBIE  	7  	0 	child_5
[677  ]	EXITED  	6  	0 	child_4
[677  ]	ZOMBIE  	6  	0 	child_4
[677  ]	EXITED  	5  	0 	child_3
[677  ]	ZOMBIE  	5  	0 	child_3
[677  ]	EXITED  	4  	0 	child_2
[677  ]	ZOMBIE  	4  	0 	child_2
[677  ]	WAITED  	11 	0 	child_9
[677  ]	WAITED  	10 	0 	child_8
[677  ]	WAITED  	9  	0 	child_7
[677  ]	WAITED  	7  	0 	child_5
[677  ]	WAITED  	6  	0 	child_4
[677  ]	WAITED  	5  	0 	child_3
[677  ]	WAITED  	4  	0 	child_2
[677  ]	BLOCKED  	1  	-1	shell
[677  ]	EXITED  	3  	0 	child_1
[677  ]	ZOMBIE  	3  	0 	child_1
[677  ]	UNBLOCKED	1  	-1	shell
[677  ]	WAITED  	3  	0 	child_1
[677  ]	BLOCKED  	1  	-1	shell
[677  ]	EXITED  	2  	0 	child_0
[677  ]	ZOMBIE  	2  	0 	child_0
[677  ]	UNBLOCKED	1  	-1	shell
[677  ]	WAITED  	2  	0 	child_0
[677  ]	BLOCKED  	1  	-1	shell
[677  ]	EXITED  	8  	0 	child_6
[677  ]	ZOMBIE  	8  	0 	child_6
[677  ]	UNBLOCKED	1  	-1	shell
[677  ]	WAITED  	8  	0 	child_6
[677  ]	BLOCKED  	1  	-1	shell
